title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
#Beautiful,Mariah Carey Featuring Miguel,15,136,2013-05-24,357,1
#SELFIE,The Chainsmokers,16,66,2014-03-14,216,1
#thatPOWER,will.i.am Featuring Justin Bieber,17,136,2013-04-05,355,1
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,71,190,2015-10-09,409,1
'98 Braves,Morgan Wallen,27,28,2023-03-17,129,1
'Til Summer Comes Around,Keith Urban,58,136,2010-01-29,314,1
'Til You Can't,Cody Johnson,18,666,2021-10-22,1414,1
'Tis The Damn Season,Taylor Swift,39,3,2020-12-25,67,0
(I've Had) The Time Of My Life,Glee Cast,38,1,2010-12-17,64,0
(If You're Wondering If I Want You To) I Want You To,Weezer,81,17,2010-01-01,53,0
(It) Feels So Good,Steven Tyler,35,10,2011-05-27,85,0
(Kissed You) Good Night,Gloriana,34,210,2012-04-20,486,1
(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,50,1,2024-01-05,52,0
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,22,91,2018-12-28,260,1
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,41,210,2014-09-12,479,1
+57,"Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd",62,1,2024-11-22,40,0
...Ready For It?,Taylor Swift,4,194,2017-09-22,484,1
0 To 100 / The Catch Up,Drake,35,210,2014-08-08,485,1
02.02.99,That Mexican OT,74,6,2024-01-26,38,0
1 Night,Lil Yachty,49,210,2016-08-12,471,1
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,19,10,2021-06-04,101,0
1+1,Beyonce,57,3,2011-06-10,49,0
"1, 2 Many",Luke Combs & Brooks & Dunn,97,1,2019-09-27,5,0
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,869,2017-05-19,1835,1
1.5,21 Savage,86,1,2019-01-04,16,0
10 Bands,Drake,58,91,2015-02-27,224,1
10 Freaky Girls,Metro Boomin Featuring 21 Savage,42,10,2018-11-16,78,0
"10,000 Hours",Dan + Shay & Justin Bieber,4,465,2019-10-18,1026,1
100,The Game Featuring Drake,82,55,2015-08-21,128,1
100 Grandkids,Mac Miller,100,1,2015-08-28,2,0
100.mil',J. Cole & Bas,14,3,2021-05-28,92,0
10:35,Tiesto Featuring Tate McRae,69,45,2023-02-03,121,1
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,55,6,2018-11-23,57,0
143,Bobby Brackins Featuring Ray J,76,66,2010-07-02,156,1
16 Carriages,Beyonce,38,21,2024-02-23,104,0
17 Again,Brantley Gilbert,90,1,2014-05-23,12,0
18,One Direction,87,1,2014-11-28,15,0
180 (Lifestyle),Morgan Wallen,63,3,2023-03-17,43,0
19 You + Me,Dan + Shay,42,171,2014-01-17,400,1
1901,Phoenix,84,88,2010-01-01,192,1
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,70,36,2018-07-27,102,0
1942 Flows,Meek Mill,83,1,2017-08-11,19,0
1985 (Intro To The Fall Off),J. Cole,20,3,2018-05-04,86,0
