title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit,join_key,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0 To 100 / The Catch Up,Drake,35,210,2014-08-08,485,1,0 to 100 the catch up_drake,0mkjekH9rwp4Fg5PxzUTrd,0 To 100 / The Catch Up,Drake,5.0,2sqwG0D7XQzXVHb3EpkUCX,0 To 100 / The Catch Up,2013-07-14,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.559,0.716,11.0,-3.964,0.0,0.39,0.737,0.0,0.252,0.504,176.618,275227.0
2 Phones,Kevin Gates,17,325,2016-01-22,733,1,2 phones_kevin gates,0wdKiSBUT7aZkXUIdJWcwC,2 Phones,Kevin Gates,70.0,5Hs43ta4vAYKRRRR7DKjt9,Islah (Deluxe),2016-01-29,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.895,0.681,7.0,-5.267,0.0,0.358,0.157,0.0,0.189,0.554,121.918,240000.0
20/20,Lil Tjay,94,1,2020-01-17,8,0,2020_lil tjay,4Hqh0dS4x07zuRw6eBTO7p,20/20,Lil Tjay,79.0,7HUt8oIXR90aLnzugUXM6U,20/20,2020-01-01,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,0.886,0.336,4.0,-12.779,1.0,0.239,0.557,0.0,0.0933,0.536,100.044,230448.0
22,Taylor Swift,20,210,2012-11-09,500,1,22_taylor swift,6ce41JVa6KFaryfmC2bu2W,22,Taylor Swift,68.0,4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-21,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.661,0.729,7.0,-6.561,1.0,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120.0
24K Magic,Bruno Mars,4,861,2016-10-28,1818,1,24k magic_bruno mars,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,78.0,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,225983.0
44 More,Logic,22,15,2018-03-09,108,0,44 more_logic,3e7Y6sfFlIdBMJhX7wpqVO,44 More,Logic,73.0,4F87p1aiFwHeU4uu65MaPV,Bobby Tarantino II,2018-03-09,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.824,0.584,10.0,-7.098,0.0,0.221,0.0718,0.0,0.106,0.219,139.965,188600.0
6 Man,Drake,97,1,2015-03-06,5,0,6 man_drake,48S3Pfu533qMMgHXmV1ruh,6 Man,Drake,1.0,2bfWH730j0HtAJrNcg1LuP,If You're Reading This It's Too Late,2015-02-12,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.812,0.535,4.0,-9.306,1.0,0.449,0.217,0.0,0.114,0.321,78.974,167653.0
7 Rings,Ariana Grande,1,561,2019-02-01,1221,1,7 rings_ariana grande,6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,90.0,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,Intro to Post-Teen Pop,6o6MNYZqHSkMAKcCHPNu7K,pop,post-teen pop,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0
7 Years,Lukas Graham,2,666,2016-02-05,1430,1,7 years_lukas graham,5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,79.0,4rFrdkSWs0dtj0rWPzOk1v,Lukas Graham,2016-04-01,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992,237300.0
8,Billie Eilish,79,1,2019-04-12,23,0,8_billie eilish,6X29iaaazwho3ab7GNue5r,8,Billie Eilish,80.0,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.735,0.235,3.0,-13.239,1.0,0.315,0.698,0.00604,0.107,0.462,62.446,173202.0
92 Explorer,Post Malone,40,6,2018-05-11,72,0,92 explorer_post malone,1D2L6MefbXon28PzIk9I3r,92 Explorer,Post Malone,74.0,6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.798,0.733,7.0,-4.811,0.0,0.0476,0.265,1.25e-06,0.114,0.861,146.046,211427.0
A Lot,21 Savage,12,276,2019-01-04,640,1,a lot_21 savage,2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,81.0,007DWn799UWvfY1wwZeENR,i am > i was,2018-12-21,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624.0
A Sky Full Of Stars,Coldplay,10,351,2014-05-16,792,1,a sky full of stars_coldplay,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,78.0,2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,2014-05-19,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.551,0.636,6.0,-7.125,1.0,0.0281,0.00713,0.00203,0.217,0.153,124.996,268467.0
A Thousand Years,Christina Perri,31,351,2011-11-04,771,1,a thousand years_christina perri,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,79.0,15yvc643iYfQtb6zh9NEJo,A Thousand Years,2011-10-18,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.421,0.407,10.0,-7.445,1.0,0.0267,0.309,0.000961,0.11,0.161,139.028,285120.0
